Year,Month,Day,Min in Observatory (°F),Min in Observatory (°C),Min in Clock Square (°F),Min in Clock Square (°C),Max in Observatory (°F),Max in Observatory (°C)
1854,10,10,NA,NA,NA,NA,NA,NA
1854,10,11,NA,NA,NA,NA,NA,NA
1854,10,12,NA,NA,NA,NA,NA,NA
1854,10,13,NA,NA,NA,NA,NA,NA
1854,10,14,NA,NA,NA,NA,NA,NA
1854,10,15,NA,NA,NA,NA,NA,NA
1854,10,16,NA,NA,NA,NA,NA,NA
1854,10,17,NA,NA,NA,NA,NA,NA
1854,10,18,NA,NA,NA,NA,NA,NA
1854,10,19,NA,NA,NA,NA,NA,NA
1854,10,20,NA,NA,NA,NA,NA,NA
1854,10,21,NA,NA,NA,NA,NA,NA
1854,10,22,NA,NA,NA,NA,NA,NA
1854,10,23,NA,NA,NA,NA,NA,NA
1854,10,24,NA,NA,NA,NA,NA,NA
1854,10,25,NA,NA,NA,NA,NA,NA
1854,10,26,NA,NA,NA,NA,NA,NA
1854,10,27,NA,NA,NA,NA,NA,NA
1854,10,28,NA,NA,NA,NA,NA,NA
1854,10,29,NA,NA,NA,NA,NA,NA
1854,10,30,NA,NA,NA,NA,NA,NA
1854,10,31,NA,NA,NA,NA,NA,NA
1854,11,1,NA,NA,NA,NA,NA,NA
1854,11,2,NA,NA,NA,NA,NA,NA
1854,11,3,NA,NA,NA,NA,NA,NA
1854,11,4,NA,NA,NA,NA,NA,NA
1854,11,5,NA,NA,NA,NA,NA,NA
1854,11,6,NA,NA,NA,NA,NA,NA
1854,11,7,NA,NA,NA,NA,NA,NA
1854,11,8,NA,NA,NA,NA,NA,NA
1854,11,9,NA,NA,NA,NA,NA,NA
1854,11,10,NA,NA,NA,NA,NA,NA
1854,11,11,NA,NA,NA,NA,NA,NA
1854,11,12,NA,NA,NA,NA,NA,NA
1854,11,13,NA,NA,NA,NA,NA,NA
1854,11,14,NA,NA,NA,NA,NA,NA
1854,11,15,NA,NA,NA,NA,NA,NA
1854,11,16,NA,NA,NA,NA,NA,NA
1854,11,17,NA,NA,NA,NA,NA,NA
1854,11,18,NA,NA,NA,NA,NA,NA
1854,11,19,NA,NA,NA,NA,NA,NA
1854,11,20,NA,NA,NA,NA,NA,NA
1854,11,21,NA,NA,NA,NA,NA,NA
1854,11,22,NA,NA,NA,NA,NA,NA
1854,11,23,NA,NA,NA,NA,NA,NA
1854,11,24,NA,NA,NA,NA,NA,NA
1854,11,25,NA,NA,NA,NA,NA,NA
1854,11,26,NA,NA,NA,NA,NA,NA
1854,11,27,NA,NA,NA,NA,NA,NA
1854,11,28,NA,NA,NA,NA,NA,NA
1854,11,29,NA,NA,NA,NA,NA,NA
1854,11,30,NA,NA,NA,NA,NA,NA
1854,12,1,NA,NA,NA,NA,NA,NA
1854,12,2,NA,NA,NA,NA,NA,NA
1854,12,3,NA,NA,NA,NA,NA,NA
1854,12,4,NA,NA,NA,NA,NA,NA
1854,12,5,NA,NA,NA,NA,NA,NA
1854,12,6,NA,NA,NA,NA,NA,NA
1854,12,7,NA,NA,NA,NA,NA,NA
1854,12,8,NA,NA,NA,NA,NA,NA
1854,12,9,NA,NA,NA,NA,NA,NA
1854,12,10,NA,NA,NA,NA,NA,NA
1854,12,11,NA,NA,NA,NA,NA,NA
1854,12,12,NA,NA,NA,NA,NA,NA
1854,12,13,NA,NA,NA,NA,NA,NA
1854,12,14,NA,NA,NA,NA,NA,NA
1854,12,15,NA,NA,NA,NA,NA,NA
1854,12,16,NA,NA,NA,NA,NA,NA
1854,12,17,NA,NA,NA,NA,NA,NA
1854,12,18,NA,NA,NA,NA,NA,NA
1854,12,19,NA,NA,NA,NA,NA,NA
1854,12,20,NA,NA,NA,NA,NA,NA
1854,12,21,NA,NA,NA,NA,NA,NA
1854,12,22,NA,NA,NA,NA,NA,NA
1854,12,23,NA,NA,NA,NA,NA,NA
1854,12,24,NA,NA,NA,NA,NA,NA
1854,12,25,NA,NA,NA,NA,NA,NA
1854,12,26,NA,NA,NA,NA,NA,NA
1854,12,27,NA,NA,NA,NA,NA,NA
1854,12,28,NA,NA,NA,NA,NA,NA
1854,12,29,NA,NA,NA,NA,NA,NA
1854,12,30,NA,NA,NA,NA,NA,NA
1854,12,31,NA,NA,NA,NA,NA,NA
1855,1,1,NA,NA,NA,NA,NA,NA
1855,1,2,NA,NA,NA,NA,NA,NA
1855,1,3,NA,NA,NA,NA,NA,NA
1855,1,4,NA,NA,NA,NA,NA,NA
1855,1,5,NA,NA,NA,NA,NA,NA
1855,1,6,NA,NA,NA,NA,NA,NA
1855,1,7,NA,NA,NA,NA,NA,NA
1855,1,8,NA,NA,NA,NA,NA,NA
1855,1,9,NA,NA,NA,NA,NA,NA
1855,1,10,NA,NA,NA,NA,NA,NA
1855,1,11,NA,NA,NA,NA,NA,NA
1855,1,12,NA,NA,NA,NA,NA,NA
1855,1,13,NA,NA,NA,NA,NA,NA
1855,1,14,NA,NA,NA,NA,NA,NA
1855,1,15,NA,NA,NA,NA,NA,NA
1855,1,16,NA,NA,NA,NA,NA,NA
1855,1,17,NA,NA,NA,NA,NA,NA
1855,1,18,NA,NA,NA,NA,NA,NA
1855,1,19,NA,NA,NA,NA,NA,NA
1855,1,20,NA,NA,NA,NA,NA,NA
1855,1,21,NA,NA,NA,NA,NA,NA
1855,1,22,NA,NA,NA,NA,NA,NA
1855,1,23,NA,NA,NA,NA,NA,NA
1855,1,24,NA,NA,NA,NA,NA,NA
