year reset,irrain mean,irtemp mean,co2 ppmv pre2001,co2 ppmv luthi,co2 ppmv post2001,co2 mean,temp c ffill,temp c mean ffill,anom c,modern temp c,modern anom c,anom modern anom,ch4 ppbv pre1937,ch4 ppbv 1938,ch4 ppbv 1997,ch4 mean
52766.0,,,,,,,-61.24999999999997,-61.54999999999998,-4.54,,,-4.54,,,,
52776.619999999995,,,221.64,,,221.64,,,,,,,,,,
52788.0,,,,221.4,,221.4,,,,,,,,,,
52999.0,,,,,,,-61.24999999999997,-61.24999999999997,,,,,,,,
53147.0,,,,,,,,,,,,,568.0,,,568.0
53183.0,,,,222.4,,222.4,,,,,,,,,,
53287.0,,,,,,,-60.44999999999999,-61.24999999999997,,,,,,,,
53539.0,,,,,,,-60.44999999999999,-61.24999999999997,-5.33,,,-5.33,,,,
53720.73999999999,,,223.82,,,223.82,,,,,,,,,,
53957.0,,,,,,,-60.04999999999998,-61.24999999999997,,,,,,,,
53999.0,,,,,,,-60.04999999999998,-60.249999999999986,,,,,,,,
54090.83999999997,,,224.86,,,224.86,,,,,,,,,,
54101.0,,,,217.7,,217.7,,,,,,,,,,
54217.0,,,,,,,,,,,,,486.0,,,486.0
54280.0,,,,,,,-60.04999999999998,-60.249999999999986,-6.0,,,-6.0,,,,
54627.0,,,,,,,-59.64999999999998,-60.249999999999986,,,,,,,,
54742.0,,,,213.5,,213.5,,,,,,,,,,
54767.0,,,,,,,,,,,,,519.0,,,519.0
54958.0,,,,,,,-59.64999999999998,-60.249999999999986,-6.4,,,-6.4,,,,
54999.0,,,,,,,-59.64999999999998,-59.64999999999998,,,,,,,,
55029.08999999997,,,230.62,,,230.62,,,,,,,,,,
55297.0,,,,,,,-59.849999999999966,-59.64999999999998,,,,,,,,
55592.0,,,,,,,,,,,,,467.0,,,467.0
55600.0,,,,,,,-59.849999999999966,-59.64999999999998,-6.22,,,-6.22,,,,
55649.5,,,232.12,,,232.12,,,,,,,,,,
55728.0,,,,215.7,,215.7,,,,,,,,,,
55952.0,,,,,,,,,,,,,462.0,,,462.0
55986.52000000002,,,229.41,,,229.41,,,,,,,,,,
55999.0,,,,,,,-59.849999999999966,-59.849999999999966,,,,,,,,
56018.0,,,,,,,-60.14999999999998,-59.849999999999966,,,,,,,,
56103.0,,,,216.8,,216.8,,,,,,,,,,
56210.0,,,,,,,-60.14999999999998,-59.849999999999966,-5.56,,,-5.56,,,,
56251.359999999986,,,233.66,,,233.66,,,,,,,,,,
56333.0,,,,,,,,,,,,,470.0,,,470.0
56616.0,,,,,,,,,,,,,500.0,,,500.0
56656.18000000005,,,222.93,,,222.93,,,,,,,,,,
56738.0,,,,,,,-60.74999999999997,-59.849999999999966,,,,,,,,
56754.0,,,,,,,,,,,,,535.0,,,535.0
56822.0,,,,,,,-60.74999999999997,-59.849999999999966,-5.1,,,-5.1,,,,
56999.0,,,,,,,-60.74999999999997,-60.449999999999974,,,,,,,,
57005.0,,,,222.6,,222.6,,,,,,,,,,
57090.0,,,,,,,,,,,,,518.0,,,518.0
57161.119999999995,,,223.89,,,223.89,,,,,,,,,,
57253.0,,,,,,,,,,,,,563.0,,,563.0
57439.0,,,,,,,-60.74999999999997,-60.449999999999974,-4.76,,,-4.76,,,,
57459.0,,,,,,,-61.54999999999998,-60.449999999999974,,,,,,,,
57589.0,,,,224.1,,224.1,,,,,,,,,,
57695.0,,,,,,,,,,,,,549.0,,,549.0
57904.0,,,,221.4,,221.4,,,,,,,,,,
57999.0,,,,,,,-61.54999999999998,-61.54999999999998,,,,,,,,
58020.0,,,,,,,,,,,,,556.0,,,556.0
58067.42000000004,,,219.95,,,219.95,,,,,,,,,,
58077.0,,,,,,,-61.54999999999998,-61.54999999999998,-4.72,,,-4.72,,,,
58152.0,,,,225.7,,225.7,,,,,,,,,,
58253.0,,,,,,,-61.94999999999999,-61.54999999999998,,,,,,,,
58375.0,,,,,,,,,,,,,538.0,,,538.0
58519.0,,,,215.0,,215.0,,,,,,,,,,
58736.19999999995,,,214.0,,,214.0,,,,,,,,,,
58755.0,,,,,,,-61.94999999999999,-61.54999999999998,-5.16,,,-5.16,,,,
58967.0,,,,216.0,,216.0,,,,,,,,,,
58999.0,,,,,,,-61.94999999999999,-61.94999999999999,,,,,,,,
59011.0,,,,,,,,,,,,,521.0,,,521.0
59048.0,,,,,,,-62.14999999999998,-61.94999999999999,,,,,,,,
59451.0,,,,,,,-62.14999999999998,-61.94999999999999,-5.78,,,-5.78,,,,
59671.95999999996,,,214.69,,,214.69,,,,,,,,,,
59774.0,,,,212.0,,212.0,,,,,,,,,,
59799.0,,,,,,,,,,,,,474.0,,,474.0
59842.0,,,,,,,-61.94999999999999,-61.94999999999999,,,,,,,,
59973.51000000001,,,216.64,,,216.64,,,,,,,,,,
59999.0,,,,,,,-61.94999999999999,-62.04999999999998,,,,,,,,
60146.0,,,,,,,-61.94999999999999,-62.04999999999998,-6.72,,,-6.72,,,,
60264.0,,,,,,,,,,,,,473.0,,,473.0
60385.0,,,,206.1,,206.1,,,,,,,,,,
60517.0,,,,,,,-61.04999999999998,-62.04999999999998,,,,,,,,
60816.0,,,,,,,-61.04999999999998,-62.04999999999998,-7.33,,,-7.33,,,,
60898.060000000056,,,222.71,,,222.71,,,,,,,,,,
60999.0,,,,,,,-61.04999999999998,-61.04999999999998,,,,,,,,
61192.0,,,,,,,-60.849999999999966,-61.04999999999998,,,,,,,,
61202.0,,,,,,,,,,,,,454.0,,,454.0
61321.939999999944,,,225.62,,,225.62,,,,,,,,,,
61338.0,,,,206.9,,206.9,,,,,,,,,,
61421.0,,,,,,,-60.849999999999966,-61.04999999999998,-7.27,,,-7.27,,,,
61636.0,,,,208.8,,208.8,,,,,,,,,,
