bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Bag,Age,Deuterium,anom c,year,temp c
,2136.2,,,,,,3885,208655.37,-403.4,-1.69,,
,2136.75,,,,,,3886,208742.70,-406.7,-2.24,,
,2137.3,,,,,,3887,208834.05,-407.5,-2.38,,
,2137.85,,,,,,3888,208926.02,-403,-1.64,,
,2138.4,,,,,,3889,209013.15,-403.2,-1.67,,
,2138.95,,,,,,3890,209100.38,-407.1,-2.32,,
,2139.5,,,,,,3891,209191.96,-403.9,-1.80,,
,2140.05,,,,,,3892,209280.33,-408.3,-2.53,,
,2140.6,,,,,,3893,209373.59,-406.2,-2.19,,
,2141.15,,,,,,3894,209464.08,-401.4,-1.40,,
,2141.7,,,,,,3895,209550.36,-407.4,-2.39,,
,2142.25,,,,,,3896,209642.22,-401.7,-1.46,,
,2142.8,,,,,,3897,209728.06,-406.4,-2.24,,
,2143.35,,,,,,3898,209817.94,-401,-1.35,,
,2143.9,,,,,,3899,209903.50,-403.5,-1.77,,
,2144.45,,,,,,3900,209990.59,-401.8,-1.49,,
,2145,,,,,,3901,210075.56,-403.9,-1.84,,
,2145.55,,,,,,3902,210157.30,-394.2,-0.24,,
,2146.1,,,,,,3903,210234.38,-401.1,-1.39,,
,2146.65,,,,,,3904,210318.62,-402,-1.55,,
,2147.2,,,,,,3905,210403.83,-400.3,-1.27,,
,2147.75,,,,,,3906,210487.55,-400.4,-1.29,,
,2148.3,,,,,,3907,210571.50,-405.91,-2.21,,
,2148.85,,,,,,3908,210657.64,-403.4,-1.80,,
,2149.4,,,,,,3909,210745.52,-407.2,-2.43,,
,2149.95,,,,,,3910,210838.26,-404.6,-2.01,,
,2150.5,,,,,,3911,210926.96,-399.2,-1.12,,
,2151.05,,,,,,3912,211009.92,-399.1,-1.11,,
,2151.6,,,,,,3913,211092.26,-403,-1.76,,
,2152.15,,,,,,3914,211179.75,-406.4,-2.33,,
,2152.7,,,,,,3915,211270.07,-398.8,-1.07,,
,2153.25,,,,,,3916,211353.56,-400.7,-1.39,,
,2153.8,,,,,,3917,211437.58,-404.7,-2.06,,
,2154.35,,,,,,3918,211527.34,-404.6,-2.05,,
,2154.9,,,,,,3919,211616.18,-407.2,-2.48,,
,2155.45,,,,,,3920,211700.88,-404.3,-2.01,,
,2156,,,,,,3921,211785.85,-406.3,-2.34,,
,2156.55,,,,,,3922,211877.57,-404.4,-2.03,,
,2157.1,,,,,,3923,211966.95,-402.6,-1.74,,
,2157.65,,,,,,3924,212054.57,-404.2,-2.01,,
