year reset,temp cffill mod,anom c mod,co2 mean,ch4 mean,irtemp mean,irrain mean
82999.0,-63.04999999999998,,,,,
83019.0,,,,407.0,,
83039.0,-63.04999999999998,-5.62,,,,
83257.01000000001,,,191.74,,,
83424.0,-62.44999999999999,,,,,
83544.0,-62.44999999999999,-5.38,,,,
83566.0,,,206.5,,,
83708.0,,,,423.0,,
83949.0,,,210.6,,,
83999.0,-62.44999999999999,,,,,
84016.0,,,,508.0,,
84029.0,-62.44999999999999,-4.76,,,,
84084.0,-61.94999999999999,,,,,
84177.88,,,204.52,,,
84484.0,-61.94999999999999,-4.52,,,,
84552.0,,,,542.0,,
84568.18000000005,,,206.92,,,
84572.0,,,211.3,,,
84632.0,-60.64999999999998,,,,,
84804.0,,,208.1,,,
84915.0,,,,561.0,,
84999.0,-60.64999999999998,,,,,
85001.0,-60.64999999999998,-4.47,,,,
85179.0,-60.24999999999997,,,,,
85315.78000000003,,,213.14,,,
85378.0,,,209.7,,,
85425.0,,,,546.0,,
85483.0,-60.24999999999997,-4.03,,,,
85727.0,-59.64999999999998,,,,,
85730.68999999994,,,217.19,,,
85759.0,,,204.1,,,
85781.0,,,,541.0,,
85983.0,-59.64999999999998,-3.72,,,,
85999.0,-59.64999999999998,,,,,
86246.0,-60.14999999999998,,,,,
86314.0,,,,518.0,,
86379.0,,,201.3,,,
86428.08999999997,,,217.88,,,
86502.0,-60.14999999999998,-3.99,,,,
86671.0,,,201.7,,,
86703.43000000005,,,214.66,,,
86737.0,,,,531.0,,
86766.0,-59.54999999999998,,,,,
86995.0,-59.54999999999998,-4.15,,,,
86999.0,-59.54999999999998,,,,,
87234.0,,,207.4,,,
87250.0,,,,520.0,,
87285.0,-58.74999999999997,,,,,
87375.38,,,216.15,,,
87511.0,-58.74999999999997,-3.95,,,,
87615.0,,,205.3,,,
87644.0,,,,519.0,,
87809.0,-60.04999999999998,,,,,
87815.77000000002,,,210.6,,,
87999.0,-60.04999999999998,,,,,
88035.0,-60.04999999999998,-3.93,,,,
88190.0,,,,530.0,,
88295.0,,,204.4,,,
88333.0,-59.14999999999998,,,,,
88509.0,,,207.72,,,
88577.0,,,203.9,,,
88597.0,-59.14999999999998,-3.79,,,,
88679.0,,,,525.0,,
88844.5,,,208.11,,,
88857.0,-59.44999999999999,,,,,
88999.0,-59.44999999999999,,,,,
89236.0,-59.44999999999999,-4.2,,,,
89290.0,,,205.9,,,
89374.0,-59.74999999999997,,,,,
89377.0,,,,521.0,,
89516.25,,,213.73,,,
89692.0,,,,537.0,,
89697.0,,,203.8,,,
89891.0,-58.94999999999999,,,,,
89892.0,-58.94999999999999,-4.85,,,,
89977.0,,,211.62,,,
89999.0,-58.94999999999999,,,,,
90396.0,,,,512.0,,
90408.0,-59.349999999999966,,,,,
90507.0,-59.349999999999966,-5.28,,,,
90509.0,,,204.9,,,
90653.77000000002,,,210.7,,,
90811.0,,,,538.0,,
90889.0,,,204.1,,,
90929.68999999994,,,210.16,,,
90963.0,-59.349999999999966,,,,,
90999.0,-59.349999999999966,,,,,
91129.0,-59.349999999999966,-5.23,,,,
91518.0,-59.94999999999999,,,,,
91539.0,,,204.0,,,
91577.68999999994,,,212.17,,,
91595.0,,,,545.0,,
91788.0,-59.94999999999999,-5.31,,,,
91999.0,-59.94999999999999,,,,,
92001.06000000006,,,210.01,,,
92073.0,-61.14999999999998,,,,,
92084.0,,,,551.0,,
92469.0,-61.14999999999998,-5.69,,,,
92657.0,-61.24999999999997,,,,,
92850.46999999996,,,211.08,,,
92917.0,,,205.4,,,
92965.0,,,,530.0,,
92999.0,-61.24999999999997,,,,,
93176.0,-61.24999999999997,-5.83,,,,
93241.0,-60.349999999999966,,,,,
93244.09999999998,,,210.24,,,
93270.0,,,205.1,,,
93385.0,,,,559.0,,
93825.0,-60.349999999999966,,,,,
93890.0,-60.349999999999966,-6.05,,,,
93939.5,,,210.07,,,
93999.0,-60.349999999999966,,,,,
94106.0,,,205.5,,,
94131.0,,,,531.0,,
94425.0,-60.74999999999997,,,,,
94625.0,-60.74999999999997,-5.96,,,,
94646.0,,,204.5,,,
94658.0,,,,541.0,,
94999.0,-60.74999999999997,,,,,
95024.0,-60.849999999999966,,,,,
95261.14,,,211.43,,,
95303.0,-60.849999999999966,-6.1,,,,
95343.0,,,,504.0,,
95516.0,,,208.1,,,
95588.41000000005,,,211.08,,,
95624.0,-61.04999999999998,,,,,
95901.0,,,206.6,,,
95969.0,,,,561.0,,
95999.0,-61.04999999999998,,,,,
96036.0,-61.04999999999998,-5.07,,,,
96215.0,-60.94999999999999,,,,,
96363.56999999996,,,211.49,,,
96779.0,,,206.3,,,
96805.0,-61.14999999999998,,,,,
96856.0,-61.14999999999998,-5.18,,,,
96862.64,,,210.48,,,
96918.0,,,,478.0,,
96999.0,-61.14999999999998,,,,,
97393.0,,,210.3,,,
97396.0,-60.04999999999998,,,,,
97465.0,,,,581.0,,
97605.0,-60.04999999999998,-5.75,,,,
97696.0,,,214.01,,,
97999.0,-60.04999999999998,,,,,
98005.0,-60.74999999999997,,,,,
98057.77000000002,,,212.55,,,
98150.0,,,,560.0,,
98360.0,-60.74999999999997,-7.14,,,,
98374.0,,,213.2,,,
98613.0,-61.74999999999997,,,,,
98705.0,,,213.4,,,
98843.41000000005,,,212.11,,,
98866.0,,,,566.0,,
98999.0,-61.74999999999997,,,,,
99222.0,-60.64999999999998,,,,,
99304.0,-60.64999999999998,-8.32,,,,
99332.18999999994,,,216.1,,,
99799.0,,,211.3,,,
99885.0,-60.54999999999998,,,,,
99917.0,,,,515.0,,
99999.0,-60.54999999999998,,,,,
100148.14,,,218.96,,,
100195.0,-60.54999999999998,-8.77,,,,
100430.47999999998,,,219.2,,,
100520.0,,,206.3,,,
100547.0,-62.849999999999966,,,,,
100580.0,,,,491.0,,
100999.0,-62.849999999999966,,,,,
101074.0,-62.849999999999966,-7.9,,,,
101210.0,-62.04999999999998,,,,,
101247.24,,,217.04,,,
101305.0,,,,401.0,,
101501.0,,,195.2,,,
101750.70999999996,,,212.03,,,
101837.0,-62.04999999999998,-7.13,,,,
101858.0,-61.849999999999966,,,,,
101999.0,-61.849999999999966,,,,,
102044.0,,,187.8,,,
102196.0,,,,408.0,,
102507.0,-60.24999999999997,,,,,
102550.81999999996,,,200.82,,,
102691.0,-60.24999999999997,-6.92,,,,
102999.0,-60.24999999999997,,,,,
103059.0,,,184.3,,,
103059.65000000002,,,193.46,,,
103155.0,-61.44999999999999,,,,,
103203.0,,,,392.0,,
103460.0,-61.44999999999999,-6.47,,,,
103743.0,-60.24999999999997,,,,,
103774.0,,,192.9,,,
103875.0,,,,403.0,,
103882.52000000002,,,189.88,,,
103999.0,-60.24999999999997,,,,,
