dmy float,dmy,irtemp c,min c,max c
1834.7868852459017,1834-10-15,,,
1834.7896174863388,1834-10-16,,,
1834.792349726776,1834-10-17,,,
1834.795081967213,1834-10-18,,,
1834.7978142076502,1834-10-19,,,
1834.8005464480875,1834-10-20,,,
1834.8032786885246,1834-10-21,,,
1834.8060109289618,1834-10-22,,,
1834.808743169399,1834-10-23,,,
1834.811475409836,1834-10-24,,,
1834.8142076502731,1834-10-25,,,
1834.8169398907103,1834-10-26,,,
1834.8196721311476,1834-10-27,,,
1834.8224043715848,1834-10-28,,,
1834.8251366120219,1834-10-29,,,
1834.827868852459,1834-10-30,,,
1834.8306010928961,1834-10-31,,,
1834.0300546448088,1834-01-11,,,
1834.1147540983607,1834-02-11,,,
1834.191256830601,1834-03-11,,,
1834.275956284153,1834-04-11,,,
1834.3579234972678,1834-05-11,,,
1834.4426229508197,1834-06-11,,,
1834.5245901639344,1834-07-11,,,
1834.6092896174864,1834-08-11,,,
1834.6939890710382,1834-09-11,,,
1834.775956284153,1834-10-11,,,
1834.860655737705,1834-11-11,,,
1834.9426229508197,1834-12-11,,,
1834.8661202185792,1834-11-13,,,
1834.8688524590164,1834-11-14,,,
1834.8715846994535,1834-11-15,,,
1834.8743169398906,1834-11-16,,,
1834.877049180328,1834-11-17,,,
1834.879781420765,1834-11-18,,,
1834.8825136612022,1834-11-19,,,
1834.8852459016393,1834-11-20,,,
1834.8879781420765,1834-11-21,,,
1834.8907103825136,1834-11-22,,,
1834.8934426229507,1834-11-23,,,
1834.896174863388,1834-11-24,,,
1834.8989071038252,1834-11-25,,,
1834.9016393442623,1834-11-26,,,
1834.9043715846994,1834-11-27,,,
1834.9071038251366,1834-11-28,,,
1834.9098360655737,1834-11-29,,,
1834.9125683060108,1834-11-30,,,
1834.032786885246,1834-01-12,,,
1834.1174863387978,1834-02-12,,,
1834.1939890710382,1834-03-12,,,
1834.27868852459,1834-04-12,,,
1834.360655737705,1834-05-12,,,
1834.4453551912568,1834-06-12,,,
1834.5273224043715,1834-07-12,,,
1834.6120218579235,1834-08-12,,,
1834.6967213114754,1834-09-12,,,
1834.77868852459,1834-10-12,,,
1834.863387978142,1834-11-12,,,
1834.9453551912568,1834-12-12,,,
1834.948087431694,1834-12-13,,,
1834.950819672131,1834-12-14,,,
1834.9535519125684,1834-12-15,,,
1834.9562841530055,1834-12-16,,,
1834.9590163934427,1834-12-17,,,
1834.9617486338798,1834-12-18,,,
1834.964480874317,1834-12-19,,,
1834.967213114754,1834-12-20,,,
1834.9699453551912,1834-12-21,,,
1834.9726775956285,1834-12-22,,,
1834.9754098360656,1834-12-23,,,
1834.9781420765028,1834-12-24,,,
1834.98087431694,1834-12-25,,,
1834.983606557377,1834-12-26,,,
1834.9863387978141,1834-12-27,,,
1834.9890710382513,1834-12-28,,,
1834.9918032786886,1834-12-29,,,
1834.9945355191257,1834-12-30,,,
1834.9972677595629,1834-12-31,,,
1835.0027322404371,1835-01-01,,,
1835.0874316939892,1835-02-01,,,
1835.1639344262296,1835-03-01,,,
1835.2486338797814,1835-04-01,,,
1835.3306010928961,1835-05-01,,,
1835.4153005464482,1835-06-01,,,
1835.4972677595629,1835-07-01,,,
1835.5819672131147,1835-08-01,,,
1835.6666666666667,1835-09-01,,,
1835.7486338797814,1835-10-01,,,
1835.8333333333333,1835-11-01,,,
1835.9153005464482,1835-12-01,,,
1835.035519125683,1835-01-13,,,
1835.0382513661202,1835-01-14,,,
1835.0409836065573,1835-01-15,,,
1835.0437158469945,1835-01-16,,,
