year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y,temp c mean
100547,100547.0,-719341.0,-62.84999999999997,,,,,
100999,,,,,,,,-62.84999999999997
101074,101074.0,-718814.0,,-7.9,,,,
101210,101210.0,-718678.0,-62.04999999999998,,,,,
101837,101837.0,-718051.0,,-7.13,,,,
101858,101858.0,-718030.0,-61.84999999999997,,,,,
101999,,,,,,,,-61.949999999999974
102507,102507.0,-717381.0,-60.24999999999997,,,,,
102691,102691.0,-717197.0,,-6.92,,,,
102999,,,,,,,,-60.24999999999997
103155,103155.0,-716733.0,-61.44999999999999,,,,,
103460,103460.0,-716428.0,,-6.47,,,,
103743,103743.0,-716145.0,-60.24999999999997,,,,,
103999,,,,,,,,-60.84999999999998
104213,104213.0,-715675.0,,-6.23,,,,
104332,104332.0,-715556.0,-60.04999999999998,,,,,
104920,104920.0,-714968.0,-60.24999999999997,,,,,
104978,104978.0,-714910.0,,-5.59,,,,
104999,,,,,,,,-60.14999999999998
105436,105436.0,-714452.0,-59.24999999999997,,,,,
105676,105676.0,-714212.0,,-5.26,,,,
105952,105952.0,-713936.0,-59.04999999999998,,,,,
105999,,,,,,,,-59.14999999999998
106359,106359.0,-713529.0,,-5.2,,,,
106468,106468.0,-713420.0,-58.94999999999999,,,,,
106988,106988.0,-712900.0,-59.74999999999997,,,,,
106999,,,,,,,,-59.34999999999998
107030,107030.0,-712858.0,,-4.23,,,,
107507,107507.0,-712381.0,-59.34999999999997,,,,,
107746,107746.0,-712142.0,,-4.02,,,,
107999,,,,,,,,-59.34999999999997
108027,108027.0,-711861.0,-59.24999999999997,,,,,
108428,108428.0,-711460.0,,-3.9,,,,
108521,108521.0,-711367.0,-59.14999999999998,,,,,
108999,,,,,,,,-59.199999999999974
109016,109016.0,-710872.0,-59.24999999999997,,,,,
109095,109095.0,-710793.0,,-4.29,,,,
109510,109510.0,-710378.0,-59.04999999999998,,,,,
109751,109751.0,-710137.0,,-4.19,,,,
109976,109976.0,-709912.0,-59.14999999999998,,,,,
109999,,,,,,,,-59.14999999999998
110402,110402.0,-709486.0,,-4.05,,,,
110443,110443.0,-709445.0,-58.64999999999998,,,,,
110909,110909.0,-708979.0,-58.74999999999997,,,,,
110999,,,,,,,,-58.699999999999974
111032,111032.0,-708856.0,,-4.0,,,,
111365,111365.0,-708523.0,-58.84999999999997,,,,,
111660,111660.0,-708228.0,,-4.06,,,,
111822,111822.0,-708066.0,-58.84999999999997,,,,,
111999,,,,,,,,-58.84999999999997
112247,112247.0,-707641.0,,-3.88,,,,
112278,112278.0,-707610.0,-58.94999999999999,,,,,
112707,112707.0,-707181.0,-58.64999999999998,,,,,
112827,112827.0,-707061.0,,-4.02,,,,
112999,,,,,,,,-58.79999999999998
113136,113136.0,-706752.0,-58.44999999999999,,,,,
113402,113402.0,-706486.0,,-3.5,,,,
113565,113565.0,-706323.0,-58.44999999999999,,,,,
113963,113963.0,-705925.0,-58.34999999999997,,,,,
113968,113968.0,-705920.0,,-3.56,,,,
113999,,,,,,,,-58.41666666666665
114362,114362.0,-705526.0,-58.04999999999998,,,,,
114526,114526.0,-705362.0,,-3.67,,,,
114760,114760.0,-705128.0,-57.74999999999997,,,,,
114999,,,,,,,,-57.89999999999998
115058,115058.0,-704830.0,,-3.7,,,,
115142,115142.0,-704746.0,-57.64999999999998,,,,,
115523,115523.0,-704365.0,-57.84999999999997,,,,,
115568,115568.0,-704320.0,,-3.75,,,,
115905,115905.0,-703983.0,-57.74999999999997,,,,,
115999,,,,,,,,-57.74999999999997
116068,116068.0,-703820.0,,-3.46,,,,
116269,116269.0,-703619.0,-57.34999999999997,,,,,
116551,116551.0,-703337.0,,-3.21,,,,
116632,116632.0,-703256.0,-57.14999999999998,,,,,
116996,116996.0,-702892.0,-57.54999999999998,,,,,
116999,,,,,,,,-57.34999999999997
117013,117013.0,-702875.0,,-3.21,,,,
117376,117376.0,-702512.0,-57.64999999999998,,,,,
117454,117454.0,-702434.0,,-3.05,,,,
117755,117755.0,-702133.0,-57.84999999999997,,,,,
117882,117882.0,-702006.0,,-2.78,,,,
117999,,,,,,,,-57.74999999999997
118135,118135.0,-701753.0,-58.14999999999998,,,,,
118309,118309.0,-701579.0,,-2.45,,,,
118510,118510.0,-701378.0,-57.84999999999997,,,,,
118724,118724.0,-701164.0,,-2.36,,,,
118886,118886.0,-701002.0,-57.94999999999999,,,,,
118999,,,,,,,,-57.98333333333331
119119,119119.0,-700769.0,,-2.49,,,,
119261,119261.0,-700627.0,-57.64999999999998,,,,,
119499,119499.0,-700389.0,,-2.4,,,,
119616,119616.0,-700272.0,-57.34999999999997,,,,,
119886,119886.0,-700002.0,,-2.02,,,,
119971,119971.0,-699917.0,-57.24999999999997,,,,,
119999,,,,,,,,-57.416666666666636
120274,120274.0,-699614.0,,-1.77,,,,
