Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1873,2,8,41.9,23.2,5.5,-4.9
1873,2,9,41.3,23.4,5.2,-4.8
1873,2,10,39.9,23.1,4.4,-4.9
1873,2,11,44.8,29.6,7.1,-1.3
1873,2,12,42.2,32,5.7,0
1873,2,13,46.4,33.3,8,0.7
1873,2,14,45.7,37.4,7.6,3
1873,2,15,45.1,38.5,7.3,3.6
1873,2,16,42.6,36.6,5.9,2.6
1873,2,17,45.7,37.1,7.6,2.8
1873,2,18,45,39.1,7.2,3.9
1873,2,19,42.2,38.6,5.7,3.7
1873,2,20,46.7,33.3,8.2,0.7
1873,2,21,52.4,29.1,11.3,-1.6
1873,2,22,41.9,34.6,5.5,1.4
1873,2,23,44.8,32.6,7.1,0.3
1873,2,24,43,27.6,6.1,-2.4
1873,2,25,38.7,28.3,3.7,-2.1
1873,2,26,49.1,37.1,9.5,2.8
1873,2,27,47.3,32,8.5,0
1873,2,28,44.2,23.8,6.8,-4.6
1873,3,1,45.1,24.4,7.3,-4.2
1873,3,2,48.4,34.1,9.1,1.2
1873,3,3,51.1,36.8,10.6,2.7
1873,3,4,53.5,48.4,11.9,9.1
1873,3,5,54.3,39.1,12.4,3.9
1873,3,6,51,36,10.6,2.2
1873,3,7,48.2,34.9,9,1.6
1873,3,8,47.8,32.5,8.8,0.3
1873,3,9,50.6,33.4,10.3,0.8
1873,3,10,45,31.8,7.2,-0.1
1873,3,11,42.1,32.5,5.6,0.3
1873,3,12,46.4,28.6,8,-1.9
1873,3,13,45,28.1,7.2,-2.2
1873,3,14,44,25,6.7,-3.9
1873,3,15,44.3,28.1,6.8,-2.2
1873,3,16,45.3,32.5,7.4,0.3
1873,3,17,41.2,33.6,5.1,0.9
1873,3,18,41.4,35.4,5.2,1.9
1873,3,19,41.9,33,5.5,0.6
1873,3,20,49.2,28,9.6,-2.2
1873,3,21,42.4,30.1,5.8,-1.1
1873,3,22,43.3,33.6,6.3,0.9
1873,3,23,46.2,32.6,7.9,0.3
1873,3,24,45.2,35.3,7.3,1.8
1873,3,25,54.3,28.7,12.4,-1.8
1873,3,26,60.9,33.1,16.1,0.6
1873,3,27,61.3,30.6,16.3,-0.8
1873,3,28,53.3,30.1,11.8,-1.1
1873,3,29,51.6,44.9,10.9,7.2
1873,3,30,54.8,45.8,12.7,7.7
1873,3,31,52.9,40.6,11.6,4.8
1873,4,1,51.4,41.2,10.8,5.1
1873,4,2,50.6,31.6,10.3,-0.2
1873,4,3,51.6,40.6,10.9,4.8
1873,4,4,53.8,45.5,12.1,7.5
1873,4,5,54.5,45.3,12.5,7.4
1873,4,6,53.4,38.7,11.9,3.7
1873,4,7,51.2,31.8,10.7,-0.1
1873,4,8,51.1,29.6,10.6,-1.3
1873,4,9,51.9,28.8,11.1,-1.8
1873,4,10,53.8,35.7,12.1,2.1
1873,4,11,52.3,28.7,11.3,-1.8
1873,4,12,57.4,34.8,14.1,1.6
1873,4,13,54,37,12.2,2.8
1873,4,14,51.3,45.8,10.7,7.7
1873,4,15,56.5,47.6,13.6,8.7
1873,4,16,64.7,43.9,18.2,6.6
1873,4,17,62.5,45.7,16.9,7.6
1873,4,18,50.9,45.7,10.5,7.6
1873,4,19,61.8,39.2,16.6,4
1873,4,20,65.8,46.4,18.8,8
1873,4,21,61.1,36.7,16.2,2.6
1873,4,22,64.6,41.6,18.1,5.3
1873,4,23,54.2,38.4,12.3,3.6
1873,4,24,46.4,28,8,-2.2
1873,4,25,47.5,28.7,8.6,-1.8
1873,4,26,48.2,27.5,9,-2.5
1873,4,27,50.8,37.7,10.4,3.2
1873,4,28,54.9,42.8,12.7,6
1873,4,29,53.6,43.4,12,6.3
1873,4,30,56.2,47.8,13.4,8.8
1873,5,1,61.4,47.3,16.3,8.5
1873,5,2,58.7,44.6,14.8,7
1873,5,3,57.2,44.5,14,6.9
1873,5,4,55.6,32.6,13.1,0.3
1873,5,5,49.9,39.7,9.9,4.3
1873,5,6,53.1,35,11.7,1.7
1873,5,7,50,40.9,10,4.9
1873,5,8,54.3,42.4,12.4,5.8
1873,5,9,57.1,44,13.9,6.7
1873,5,10,58.7,42.8,14.8,6
1873,5,11,58,49.6,14.4,9.8
1873,5,12,61.2,41.6,16.2,5.3
1873,5,13,65,45.2,18.3,7.3
1873,5,14,64.5,36.3,18.1,2.4
1873,5,15,65.8,43.1,18.8,6.2
1873,5,16,65.3,47.9,18.5,8.8
1873,5,17,65.2,45,18.4,7.2
1873,5,18,53.4,41.4,11.9,5.2
1873,5,19,50,30.6,10,-0.8
1873,5,20,55.1,30.8,12.8,-0.7
1873,5,21,56.8,47.8,13.8,8.8
1873,5,22,61,46.4,16.1,8
1873,5,23,59.8,49.8,15.4,9.9
1873,5,24,61.5,37.6,16.4,3.1
1873,5,25,58.4,36.1,14.7,2.3
1873,5,26,56.7,46.8,13.7,8.2
1873,5,27,61.4,48.6,16.3,9.2
1873,5,28,62.9,42.5,17.2,5.8
1873,5,29,67.2,44.8,19.6,7.1
1873,5,30,71.2,45.5,21.8,7.5
1873,5,31,71.4,46.5,21.9,8.1
1873,6,1,60.8,47,16,8.3
1873,6,2,69.3,45.5,20.7,7.5
1873,6,3,66.5,43.8,19.2,6.6
1873,6,4,66.7,51.6,19.3,10.9
1873,6,5,64.3,46.6,17.9,8.1
1873,6,6,68.5,49.6,20.3,9.8
1873,6,7,66.3,49.6,19.1,9.8
1873,6,8,67.3,52.6,19.6,11.4
1873,6,9,63.7,48.5,17.6,9.2
1873,6,10,61.9,50.3,16.6,10.2
1873,6,11,60.8,43,16,6.1
1873,6,12,60.9,48.5,16.1,9.2
1873,6,13,61.2,44.2,16.2,6.8
1873,6,14,61.1,49.5,16.2,9.7
1873,6,15,61.6,42,16.4,5.6
1873,6,16,62.1,40.8,16.7,4.9
1873,6,17,66.4,40.9,19.1,4.9
1873,6,18,67.5,49.5,19.7,9.7
1873,6,19,68.8,56.8,20.4,13.8
1873,6,20,64.1,48.7,17.8,9.3
1873,6,21,72.6,56.8,22.6,13.8
1873,6,22,74.6,57.4,23.7,14.1
1873,6,23,64.5,45.8,18.1,7.7
1873,6,24,61.2,53.8,16.2,12.1
1873,6,25,63.5,52.5,17.5,11.4
1873,6,26,64.2,51.6,17.9,10.9
1873,6,27,63.5,57,17.5,13.9
1873,6,28,65.1,53.9,18.4,12.2
1873,6,29,64.4,43.3,18,6.3
1873,6,30,63.4,46.6,17.4,8.1
1873,7,1,65.7,53.6,18.7,12
1873,7,2,66.2,55.5,19,13.1
1873,7,3,70.2,54.4,21.2,12.4
1873,7,4,65.2,50.3,18.4,10.2
1873,7,5,63.8,48.7,17.7,9.3
1873,7,6,67.5,47.8,19.7,8.8
1873,7,7,64.3,54.6,17.9,12.6
1873,7,8,64.5,52.3,18.1,11.3
1873,7,9,67.2,52.8,19.6,11.6
1873,7,10,66.8,52.8,19.3,11.6
1873,7,11,61.8,51.4,16.6,10.8
1873,7,12,62.2,46.8,16.8,8.2
1873,7,13,61.5,47.7,16.4,8.7
1873,7,14,63.2,43.3,17.3,6.3
1873,7,15,61.5,50.8,16.4,10.4
1873,7,16,64.4,43.5,18,6.4
1873,7,17,67.5,53.6,19.7,12
1873,7,18,66.5,53.8,19.2,12.1
1873,7,19,64.2,51.6,17.9,10.9
1873,7,20,67.5,53.9,19.7,12.2
1873,7,21,76.6,54.1,24.8,12.3
1873,7,22,78.4,57.3,25.8,14.1
1873,7,23,75,53.8,23.9,12.1
1873,7,24,69.8,54.5,21,12.5
1873,7,25,71.5,53.2,21.9,11.8
1873,7,26,68.3,54.4,20.2,12.4
1873,7,27,66.5,56.8,19.2,13.8
1873,7,28,64.3,52.7,17.9,11.5
1873,7,29,64.5,54.1,18.1,12.3
1873,7,30,66.2,52.6,19,11.4
1873,7,31,67.1,53.1,19.5,11.7
1873,8,1,66.4,56.8,19.1,13.8
