Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
319700,186000,52.916983,-6.226596,131,Rathdrum,Wicklow,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1986,191.1,16.5,111.7,107.7,124.7,110.6,40.8,299.3,3.6,70.9,143.1,171
1987,74.8,86.6,87.7,150.5,36.3,92.9,19.9,69.1,95.2,191.8,80.4,94.3
1988,236.4,64.7,101.8,52,153.7,38.9,107.9,100.9,37.5,184.5,50,47.2
1989,67.3,60.2,132.9,102.8,6.3,100.3,13.1,100.4,49.4,114.4,64.8,189.7
1990,146.5,178.8,12.4,20.3,58.7,61.6,44.1,45.5,35,176.5,123.8,125.1
1991,105.4,85.8,133,124.1,1.4,90.4,30.9,23.1,92.7,165.9,98.7,60.6
1992,31.4,55.2,96.2,107.3,44,21.8,82.9,114.6,103.6,44.7,108.3,86.9
1993,114.5,33.2,84.9,119.7,257.5,89.6,55.9,35.7,238.2,124.3,92.9,179
1994,168.6,224.7,97.6,111.1,92.7,27.7,50.5,67.4,108.3,67.5,118.1,134.7
1995,227.5,136.2,103.2,39,91.8,6.4,54.8,4,70.4,101.2,199.2,169
1996,305.7,101.4,143.7,82.4,98.4,28.6,45.5,83.9,43.7,180.6,206.2,76.6
1997,26.8,120.7,14.9,34.8,69.7,210.3,31.4,169.2,31.7,114,317.4,171.4
1998,162.5,16,81.8,198.7,47,156.4,50.2,35.3,138.6,156.8,135.8,151.1
1999,124.1,45.9,42.6,141.9,77.3,48.7,15.8,133.2,237.6,94.6,79.4,140.4
2000,56.4,78.6,18,146.1,61.5,43.5,32.8,76.9,153.4,136.4,281,252.8
2001,102.6,87.2,165.4,90.5,32.5,42.1,62.3,98.3,52.6,155.5,29.8,66.6
2002,161.9,164.9,78.7,102.9,199.5,59.6,42.2,74.5,12.7,235.6,301.9,180.4
2003,100.8,86.7,62.3,106.4,117.2,143,75.7,10.6,46.1,160.7,135.4,115.4
2004,136,44.4,130,65.6,61.6,92,43,149.7,76.8,187.1,51.5,60.9
2005,122.7,69.3,88.5,117,90.8,26.3,91.7,41,64.6,251.9,106.9,89.3
2006,64.8,59.1,181.6,29.3,124.7,33.3,71,50.9,159.6,166,172.6,167.9
2007,97.7,120.4,84.6,20.4,44.1,140.9,107,86.9,43,34.2,75.8,92.1
2008,160,45.2,142,36.9,56.6,87.2,199.1,156,151.3,146.9,69.5,51.4
2009,201.9,85.9,28.1,146.5,83.6,100.1,211.7,103.1,36.7,96.8,315.1,190.2
2010,139,71.1,93.4,38.4,67.2,45,107.6,33.5,142.9,79.9,200.2,96.7
