Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
242312.33,457958.12,55.3665488,-7.3335006,22,"Malin Head,", Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1996,43.8,74.4,18.9,78,72.6,53.9,67,132.3,47.1,155.4,126.3,56.9
1997,22.2,140.4,89.7,50,89.1,52.4,74.5,79.2,84.8,71.5,76,169.9
1998,112.5,104.5,78.9,52,45.3,92.7,137,161.4,53.8,171.6,144.3,131.2
1999,148.4,113.8,65,76.4,55,97.4,75.1,63.4,167.8,81.2,153.5,245
2000,99.9,131.3,64.9,79.3,38.5,43.6,46.2,99.5,176,170.7,104.9,121.1
2001,62,87,29,54,34,59,73,85,60,94,122,99
2002,87,169,74,69,86,108,76,54,60,145,89,46
2003,86,47,40,37,105,70,94,23,73,66,99,101
2004,155,56,54,75,35,108,99,80,137,112,95,142
2005,139,75,64,80,77,84,24,128,93,110,102,110
2006,68,40,108,69,74,63,72,62,123,127,168,183
2007,165,68,61,33,102,83,98,92,80,73,101,114
2008,189,89,141,49,15,75,127,123,88,147,116,86
2009,99,40,88,95,95,48,72,171,71,109,228,57
2010,68,87,82,53,52,25,129,67,143,70,117,75
